Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-07-02,17.8519,18.0249,17.8519,17.8519,7102.4196941436
2020-07-03,18.0249,18.1998,17.9388,18.0249,3882.3213264055
2020-07-06,18.0249,18.1128,17.9388,18.1128,4990.2109207637
2020-07-07,18.0249,18.0249,17.9388,17.9388,3128.0357763278
2020-07-08,18.0249,18.1128,17.9388,18.1128,3890.6906528973
2020-07-09,18.1128,18.2858,17.9388,18.0249,6433.9197406073
2020-07-10,18.0249,18.1128,17.8519,18.0249,3212.7752070577
2020-07-13,18.0249,18.0249,17.9388,18.0249,1259.583637023
2020-07-14,17.8519,17.9388,17.8519,17.9388,866.22529190616
2020-07-15,18.0249,18.0249,17.8519,17.9388,2942.8644276957
2020-07-16,18.0249,18.0249,17.8519,17.8519,268.86461355058
2020-07-17,17.8519,17.8519,17.503,17.6769,2689.6923013173
2020-07-20,17.7638,17.7638,17.6769,17.7638,4386.5732475393
2020-07-21,17.7638,17.9388,17.59,17.9388,2286.9184638972
2020-07-22,17.9388,18.0249,17.6769,17.6769,4989.1647549523
2020-07-23,17.7638,18.2858,17.7638,17.9388,3020.2806977453
2020-07-24,18.2858,18.6347,17.9388,18.0249,9918.6980586501
2020-07-27,18.0249,18.5478,18.0249,18.0249,1511.7095975899
2020-07-28,18.0249,18.1128,17.7638,18.1128,2811.0475354491
2020-07-29,18.1128,18.1128,17.7638,17.9388,1181.1212011619
2020-07-30,18.1998,18.1998,17.7638,17.7638,3090.3738071145
2020-07-31,17.6769,18.0249,17.59,17.8519,5463.0778675531
2020-08-03,17.8519,18.2858,17.8519,18.2858,3713.8886307571
2020-08-04,18.3737,18.4607,18.2858,18.2858,1061.8582986531
2020-08-05,20.0283,20.6392,19.2445,20.4633,24284.646981906
2020-08-06,20.4633,20.4633,19.6804,20.4633,11811.212011619
2020-08-07,20.4633,20.4633,18.7226,20.3773,15567.993440647
2020-08-10,19.6804,20.0283,19.2445,19.5924,4762.1467738609
2020-08-11,19.5924,20.2014,19.3316,19.5924,4642.8838713521
2020-08-12,20.0283,20.0283,19.3316,19.5924,2707.4771201125
2020-08-13,19.4186,19.5055,19.0696,19.1566,4524.6671346548
2020-08-14,19.0677,19.0677,18.6194,18.889,2797.4473798998
2020-08-17,19.0677,20.1421,19.0677,19.7846,10788.06184799
2020-08-18,19.4262,19.6948,19.2474,19.6039,2625.876186817
2020-08-19,19.6039,19.6948,18.9788,19.516,1963.6532281496
2020-08-20,19.516,19.516,19.0677,19.0677,3493.1476445346
2020-08-21,19.1566,19.1566,18.5315,18.5315,3182.4363985248
2020-08-24,18.3518,19.0677,18.3518,19.0677,1329.6767463922
